row_id,pseudo_query
0,"Sicilian white wine, dry, fruity, under $30"
1,cheap fruity Portuguese red wine for everyday drinking
2,crisp Pinot Gris from Oregon with lime flavor
3,sweet Riesling Michigan with tropical fruit flavors
4,"rustic Pinot Noir for winter stew, Willamette Valley"
5,Spanish red wine with plum and herbal notes
6,light and fruity red wine from Sicily
7,dry and spicy Gewürztraminer for food pairing
8,German Gewürztraminer fruity and off-dry under $15
9,crisp Pinot Gris from Alsace with apple and pear
10,"Napa Cabernet Sauvignon under $20, easy to drink"
11,dry and spicy Gewürztraminer from Alsace
12,Alexander Valley Cabernet with cherry and cigar box
13,"Etna Rosso with oak, coffee, and plum flavors"
14,everyday Chardonnay from Central Coast California
15,refreshing German Riesling with orange peel notes
16,Argentinian Malbec wine with plum and balsamic notes under $35
17,Affordable Malbec from Mendoza Argentina with dark berry flavors
18,Full-bodied Spanish red wine with oak and dark fruit flavors
19,Virginia red blend easy to drink with cherry and plum flavors
20,Red blend from Virginia with dark berry and tobacco notes
21,Oregon Pinot Noir under $25 with berry and chocolate notes
22,Light and refreshing Italian white wine with citrus flavors
23,Paso Robles Merlot with cherry and licorice notes
24,Sicilian Nero d'Avola with dark fruit and coffee notes
25,Expensive Sonoma Coast Pinot Noir with raspberry and spice
26,Cheap Sicilian white wine with apple and apricot flavors
27,"Inexpensive Nero d'Avola from Sicily, fruity and easy drinking"
28,Sicilian red blend with dark berry and chocolate notes under $20
29,Clarksburg Chenin Blanc with pear and lime flavors
30,Fruity Beaujolais wine with light tannins
31,Easy drinking red wine from Sicily for pasta
32,Sicilian white wine blend with floral and fruity aromas under $30
33,Dry Creek Valley red blend with berry and spice flavors around $50
34,"Sonoma Sauvignon Blanc similar to New Zealand style, under $25"
35,"Oregon Pinot Noir with herbal notes, maybe a bit bitter, around $50"
36,"Cheap Viognier-Chardonnay blend from Chile, peachy and melony flavors"
37,bold Sicilian Cabernet Sauvignon with barbecue spice flavors under $25
38,smooth and fruity Primitivo from Puglia under $15
39,"organic Nero d'Avola with bright berry flavor, eco-friendly, under $15"
40,Sicilian Catarratto white wine with mineral and citrus notes under $20
41,Willamette Valley Pinot Noir with earthy and tannic flavors around $20
42,Beaujolais Nouveau - festive red wine under $10
43,Sauvignon Blanc from Paso Robles good with Asian food under $15
44,Cheap Merlot from Chile with raspberry and plum flavors
45,Unique Virginia red blend with oaky caramel and vanilla notes
46,Italian white wine for seafood or spaghetti con vongole under $15
47,Sweet Riesling from Lake County with honey and citrus flavors
48,New Zealand Sauvignon Blanc grapefruit passion fruit kiwi under $20
